name|lastname|sex|birthdate
Said Kwame|Niang Nkosi|M|1969-1-25
Nia Asma|Phiri Ba|F|1981-2-17
Malika Ife|Sylla Chukwu|F|2014-8-6
Mamadou Ahmed|Mumba Niang|M|1955-9-6
Samira Malika|Bello Tshabalala|F|1977-11-2
Kwesi Wale|Kamara Obi|M|1960-8-20
Zahara Imani|Kamara Mohammed|F|1954-8-2
Said Chukwuemeka|Mokone Dlamini|M|2014-8-12
Adebayo Oumar|Diop Langa|M|1994-9-17
Musa Ousmane|Sankoh Keita|M|1973-3-16
Samira Sanaa|Ogbonna Chukwu|F|1990-6-13
Nabil Suleiman|Osman Obi|M|1982-6-23
Chiamaka Sanaa|Keita Jalloh|F|1975-9-20
Issa Tahir|Gumede Mulenga|M|2007-2-21
Abdi Chinedu|Banda Nkosi|M|2009-2-8
Juma Nabil|Mokone Langa|M|1988-5-17
Samira Nala|Jalloh Niang|F|2004-11-19
Lamine Tariq|Traoré Mumba|M|1981-3-9
Tahir Tariq|Kamara Obi|M|1994-12-17
Ousmane Yacouba|Kamara Nkomo|M|1992-11-11
Adjoa Ime|Okafor Olumide|F|2002-1-16
Amara Amina|Conteh Nkosi|F|2006-4-18
Adanna Nala|Ndiaye Mulenga|F|1991-5-11
Nabil Musa|Mahlatse Mohammed|M|2008-6-21
Mamadou Hassan|Ogbonna Ndlovu|M|1971-1-5
Moustapha Said|Ndlovu Keita|M|1974-10-2
Youssef Mustafa|Sylla Ndlovu|M|1976-5-24
Issa Boubacar|Keita Osman|M|1957-4-8
Kwesi Temba|Ouedraogo Kamara|M|1958-11-13
Adebayo Yacouba|Obi Okafor|M|1998-6-11
Issa Haroun|Abdullahi Diallo|M|1964-10-2
Ayo Mustafa|Bello Jalloh|M|1982-2-18
Chiamaka Halima|Nkomo Mpofu|F|1961-10-18
Boubacar Temba|Modise Ndou|M|1991-12-18
Amadi Hassan|Dlamini Gumede|M|1962-12-14
Femi Moustapha|Nkosi Nkosi|M|1962-4-9
Nia Zuleika|Traoré Diop|F|1984-9-10
Tahir Amadi|Phiri Obi|M|1966-3-15
Ayo Adewale|Ouedraogo Ba|M|1982-3-23
Ayanna Zola|Phiri Mahlatse|F|1984-1-9
Musa Oladipo|Mokone Ndiaye|M|2007-4-23
Juma Temba|Eze Banda|M|1985-3-23
Ibrahima Diop|Banda Bello|M|1970-5-21
Asha Imani|Ndou Mahlatse|F|1959-3-24
Suleiman Chinedu|Diop Djembe|M|1966-5-13
Hassan Tunde|Ndou Ndlovu|M|2011-4-14
Juma Femi|Nwachukwu Dlamini|M|1999-1-19
Haroun Femi|Sankoh Modise|M|1965-3-1
Mariam Asma|Gumede Okafor|F|1966-12-10
Mustafa Said|Mulenga Mensah|M|2007-11-12
Suleiman Adebayo|Traoré Sow|M|1994-5-12
Adebayo Ibrahima|Chukwu Keita|M|2012-9-11
Fatima Aminata|Mulenga Nkosi|F|1972-7-18
Juma Juma|Nwachukwu Ogwumike|M|1968-11-1
Mustafa Temba|Toure Sow|M|2006-10-5
Abdi Ibrahima|Ogwumike Okafor|M|1962-8-17
Adanna Ayana|Osman Mahlatse|F|1994-6-14
Boubacar Haroun|Kamara Moyo|M|1963-8-23
Malik Tariq|Moyo Langa|M|1984-8-3
Youssef Mubarak|Jalloh Mahlatse|M|1965-2-19
Aboubacar Abdi|Moyo Olumide|M|1996-1-4
Ayo Oumar|Mahlatse Banda|M|1990-3-8
Tahir Chinedu|Bello Chanda|M|1967-4-20
Haroun Femi|Traoré Abdullahi|M|1989-7-9
Hassan Musa|Keita Mokone|M|1955-8-4
Tunde Kwame|Djembe Jalloh|M|2002-10-14
Chinedu Emmanuel|Langa Sankoh|M|1982-1-6
Asha Mariam|Traoré Sow|F|2000-10-7
Sani Amadou|Sow Eze|M|2004-9-17
Kwame Moustapha|Osman Mensah|M|1955-4-2
Malik Adewale|Mensah Gumede|M|2004-8-1
Lamine Chinedu|Sow Mohammed|M|1970-9-20
Mohammed Mohammed|Mulenga Nkosi|M|2002-12-3
Amadi Juma|Mulenga Eze|M|1970-4-7
Temba Tahir|Ndiaye Osman|M|1960-11-20
Mubarak Ibrahima|Mensah Olumide|M|1997-11-21
Aboubacar Ayo|Mahlatse Ndlovu|M|1974-2-1
Adaeze Adjoa|Jalloh Sylla|F|1984-8-8
Ousmane Hassan|Mumba Obi|M|1976-3-11
Malik Chinedu|Nkomo Nwachukwu|M|1989-6-17
Adjoa Zoya|Ndiaye Mumba|F|1976-3-23
Kofi Mustafa|Kamara Conteh|M|1970-6-14
Ime Amina|Sow Mensah|F|1994-4-9
Aboubacar Femi|Mohammed Nwosu|M|1972-4-21
Nia Nala|Sow Tshabalala|F|1960-9-8
Yacouba Abdi|Ogbonna Chukwu|M|2014-6-7
Ali Diop|Mulenga Mokone|M|1985-12-2
Moustapha Lamine|Sylla Traoré|M|1982-11-16
Nkechi Zahara|Nkomo Olumide|F|1956-2-15
Kwesi Emmanuel|Kamara Dlamini|M|2014-8-20
Ali Ibrahima|Osman Okafor|M|1995-1-17
Kwame Ismail|Langa Diallo|M|2004-11-3
Femi Amadou|Modise Nwachukwu|M|1964-2-24
Amina Mariam|Chanda Obi|F|1987-8-22
Nala Ayana|Mpofu Tshabalala|F|1980-9-10
Temba Abdi|Jalloh Conteh|M|2001-1-22
Malik Haroun|Sankoh Okafor|M|1993-2-13
Chukwuemeka Sani|Ndlovu Mensah|M|1982-3-3
Samira Nala|Banda Ogbonna|F|1983-11-12
Mariam Nadia|Nkomo Ba|F|1972-4-12
Oumar Chukwuemeka|Obi Conteh|M|1982-6-18
Aaliyah Nzinga|Sankoh Banda|F|1984-12-20
Issa Ayo|Djembe Okafor|M|1991-5-14
Jabari Femi|Mokone Olumide|M|1965-1-19
Oladipo Amadi|Konaté Modise|M|1992-8-7
Nabil Kwame|Osman Mulenga|M|1981-4-11
Amadou Said|Ndlovu Niang|M|1996-6-10
Musa Jabari|Sow Abdullahi|M|2012-8-13
Kadija Zainab|Ogwumike Diallo|F|1990-2-21
Said Hassan|Olumide Nwosu|M|1973-4-23
Ayo Mamadou|Ndou Jalloh|M|2011-10-7
Lamine Musa|Sylla Ba|M|1973-10-11
Ife Asma|Bello Diop|F|1956-3-10
Kadija Nkechi|Obi Ba|F|1957-1-5
Ayana Zuleika|Ogbonna Toure|F|1964-12-2
Layla Zola|Nwachukwu Ndou|F|1994-9-4
Mubarak Ahmed|Ndiaye Mohammed|M|1980-12-11
Ife Layla|Olumide Mensah|F|2002-4-3
Ayana Ife|Mumba Obi|F|1959-11-3
Thandiwe Nala|Mokone Moyo|F|1981-5-5
Nabil Ahmed|Niang Nkomo|M|1962-5-11
Ayo Nia|Mpofu Sankoh|F|1974-1-16
Femi Kwesi|Mumba Mensah|M|1970-4-21
Mohammed Femi|Keita Sow|M|1995-7-3
Mustafa Mohammed|Mensah Diallo|M|2013-1-6
Nia Nala|Eze Diop|F|1982-10-25
Lamine Mustafa|Bello Conteh|M|1963-12-3
Nia Thandiwe|Chanda Ogbonna|F|2004-12-13
Issa Femi|Sankoh Jalloh|M|1974-9-7
Zola Aisha|Ndiaye Kamara|F|1962-11-1
Chukwuemeka Moustapha|Abdullahi Nkomo|M|1963-11-9
Kofi Ousmane|Okafor Obi|M|1988-6-23
Tunde Suleiman|Gumede Dlamini|M|1981-2-24
Issa Boubacar|Sow Diop|M|1990-9-8
Mamadou Ousmane|Sankoh Okafor|M|2002-4-2
Ime Zahara|Eze Ba|F|1986-12-13
Ousmane Ali|Langa Diop|M|1962-2-9
Nala Nzinga|Tshabalala Konaté|F|1955-3-20
Ousmane Tahir|Modise Osman|M|1961-10-15
Aaliyah Kehinde|Mensah Dlamini|F|1954-12-19
Youssef Oumar|Diallo Langa|M|2008-5-2
Emmanuel Adewale|Konaté Ndiaye|M|1963-7-8
Abdi Tunde|Sankoh Sow|M|1993-3-15
